STATE,zipcode,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,A00200,N00200,N00300,A00300,SCHF,N02300,A02300,N02500,A02500,N06500,A06500,N10300,A10300,N19700,A19700
GA,31404,13340,6570,2160,4310,4970,24340,9460,1100,1000,100,410,160,4070,2300,457801,13340,462933,343260,11830,1310,1656,0,340,856,1120,12955,6900,39434,8280,42889,2050,10994
GA,31405,15040,6760,4460,3460,6550,29340,10550,900,790,100,250,100,3500,3260,956762,15040,969262,587825,12880,3060,5690,30,350,868,1890,28885,9290,103820,10470,110776,4090,27517
GA,31406,15460,7220,4770,3110,7130,29140,9790,650,500,150,160,80,3140,3710,1081399,15460,1096115,608037,12840,3440,6848,50,290,784,2270,32248,10030,155503,11120,164110,4220,40118
GA,31407,6900,3090,2270,1280,2530,13830,4960,230,210,30,30,20,1800,680,346840,6900,350462,315828,6410,830,324,0,210,601,390,4288,4870,30790,5270,32348,1840,7086
GA,31408,4200,1780,810,1510,1910,8920,4050,180,180,0,70,40,1300,630,132190,4200,133361,110107,3710,350,253,0,110,284,320,3773,2050,8663,2510,9662,540,2774
GA,31410,11270,5080,4930,1010,5600,21520,6120,150,90,60,0,0,1250,3240,973065,11270,991552,621517,9190,3610,9524,50,160,502,2050,32278,8890,137985,9430,146929,4370,32115
GA,31411,4230,1360,2710,90,2920,8060,1320,0,0,0,0,0,80,2870,816406,4230,829763,257833,2150,2860,14981,30,30,98,2400,55621,3680,143011,3770,152037,2950,41298
GA,31415,4960,2230,410,2200,1860,9500,4300,550,520,30,230,120,1850,790,119425,4960,120241,95285,4410,260,56,0,160,345,360,3827,1940,6746,2570,7568,560,3200
GA,31419,24290,11190,7570,4760,9640,45840,15280,1220,940,280,170,100,5600,4370,1138555,24290,1151291,896964,21390,3940,3456,40,580,1708,2600,34497,15870,104573,17500,111631,5920,30434
GA,31501,5510,2330,1570,1500,3010,11170,4350,20,20,0,0,140,1620,1290,224126,5510,227242,150636,4580,990,1074,70,160,363,780,10010,2900,21730,3400,23467,970,6352
GA,31503,7820,2870,3120,1670,4510,16650,6060,0,0,0,0,170,1940,1760,324070,7820,326659,240683,6550,1540,1495,260,260,657,1070,13019,4480,23993,5170,26009,1290,7219
GA,31510,3760,1330,1440,950,2870,8370,3390,0,0,0,0,140,770,750,160567,3760,162756,122212,3290,830,982,350,130,246,420,4690,2080,13697,2480,14953,670,3885
GA,31512,750,260,300,180,510,1650,650,0,0,0,0,0,160,160,32642,750,33272,23533,630,200,209,110,30,62,90,1005,410,2843,510,3269,120,769
GA,31513,5680,1970,2290,1350,4090,12500,4830,0,0,0,0,210,1240,1200,250067,5680,252805,194572,4900,1250,1317,470,380,1048,710,8070,3250,21078,3890,23030,1130,7048
GA,31516,5880,2090,2520,1150,3740,12790,4730,50,50,0,0,70,1290,1270,285922,5880,288780,205904,4950,1320,2155,290,180,469,790,9918,3540,28541,4070,30253,1220,7523
GA,31518,270,90,130,50,170,610,230,0,0,0,0,0,30,60,11050,270,11144,8367,220,60,16,50,0,0,30,350,150,725,180,833,60,323
GA,31519,1370,550,520,290,960,2930,1110,0,0,0,0,40,350,280,55204,1370,56015,43027,1150,340,367,120,60,164,160,1973,740,4184,900,4709,290,1951
